DS Onderdelen>Chassis;CATEGORY;;;;;
Set watergootjes (uit 1 stuk);;;;311201;;63
Rubberstrip set achtergootjes onder achterscherm;;;;311202;;9
Rubberhouders binnenscherm set;;;;311203;;25
Schelpje links;;;;311204;;25
Schelprubber links;;;;311205;;7
Schelpje rechts;;;;311206;;45
Schelprubber rechts;;;;311207;;7
Plaat achter wasbord zijkant links;;;;311208;;33
Plaat achter wasbord zijkant rechts;;;;311209;;33
Afdekstrip electr.draad in koffer, zwart gemoffeld;;;;311210;;33
Driehoekversterkingsblik in koffer links;;;;311211;;15
Driehoekversterkingsblik in koffer rechts;;;;311212;;15
Verstevigingsdriehoek aan de hoedenplank links;;;;311213;;17,5
Verstevigingsdriehoek aan de hoedenplank rechts;;;;311214;;17,5
Houder veercilinder achterklep links;;;;311215;;15
Houder veercilinder achterklep rechts;;;;311216;;15
Z-profiel tussen achterpaneel en kofferbodem;;;;311217;;14
Achterpaneel ;;;;311218;;245
Achterpaneelkant links;;;;311219;;19
Achterpaneelkant rechts;;;;311220;;19
Achterpaneel rubberhouder;;;;311221;;12
Bumpersteun achter links;;;;311222;;24
Bumpersteun achter rechts;;;;311223;;24
Rubber in bumpersteun achter;;;;311224;;6
Kofferbodem;D742X97;;;311225;;60
Tankbodemplaat;DX7443I;;;311226;;90
Tankbodemplaat origineel;;;;311227;;340
Bodemplaat onder achteras met versteviging;;;;311228;;90
Binnenscherm achter compleet links;;;;311229;;286
Binnenscherm achter compleet rechts;;;;311230;;286
Binnenscherm achter rep.deel links;;;;311231;;40
Binnenscherm achter rep.deel rechts;;;;311232;;40
Binnenscherm achter, balk rep.deel links;;;;311233;;35
Binnenscherm achter, balk rep.deel rechts;;;;311234;;35
Voorplaat binnenscherm achter links;;;;311235;;32
Voorplaat binnenscherm achter rechts;;;;311236;;32
Chassisbalk kofferbak links;;;;311237;;90
Chassisbalk kofferbak rechts;;;;311238;;90
Aanslag draagarmrubber lage stand achter links;;;;311239;;30
Aanslag draagarmrubber lage stand achter rechts;;;;311240;;30
Puntrubber in bodem;;;;311241;;2.5
Metalen dop in bodem;;;;311242;;4
Voorste kriksteun reparatiedeel links;;;;311243;;50
Voorste kriksteun reparatiedeel rechts;;;;311244;;50
Verstevigingsdriehoekje kriksteun links;;;;311245;;8
Verstevigingsdriehoekje kriksteun rechts;;;;311246;;8
Plaatje achter kriksteun links;;;;311247;;16
Plaatje achter kriksteun rechts;;;;311248;;16
Kriksteunplaat verticaal midden met gat;;;;311249;;12
Kriksteunplaat achter horizontaal met lasgaten;;;;311250;;10
Bodemplaat compleet voor 1961;;;;311251;;1050
Bodemplaat compleet na 1961;;;;311252;;850
Horizontaal bodemprofiel links;7D5417173R;7D5417173R;3,75(2,1mx,017mx0,02m);311253;;38
Horizontaal bodemprofiel rechts;7D5417173R;7D5417173R;3,75;311254;;38
Versterkingsprofiel bodem links;;;1,02;311255;;20
Versterkingsprofiel bodem rechts;;;1,02;311256;;20
Verticaal balkprofiel links;D74387;D74387A;2,08;311257;;26
Verticaal balkprofiel rechts;D74387;D74387A;2,08;311258;;26
Achterkant kokerbalk links;;;;311259;;22
Achterkant kokerbalk rechts;;;;311260;;22
Instapdorpel links voor;;;;311261;;22
Instapdorpel rechts voor;;;;311262;;22
Instapdorpel achter compleet met verstevigingen links;;;;311263;;49
Instapdorpel achter compleet met verstevigingen rechts;;;;311264;;49
Veer stop achterdeur;;;;311265;;15
Rubber set wit instapdorpel ( set van 4 );;;;311266;;60
B-stijl rep.deel met rubberhouder links;;;;311267;;25
B-stijl rep.deel met rubberhouder rechts;;;;311268;;25
Rubberhouder onderzijde B-stijl;;;;311269;;6
Rubber onderzijde B-stijl links;;;;311270;;7
Rubber onderzijde B-stijl rechts;;;;311271;;7
C-stijl rep.deel met rubberhouder links;;;;311272;;49
C-stijl rep.deel met rubberhouder rechts;;;;311273;;49
Rubberhouder onderzijde C-stijl links;;;;311274;;12
Rubberhouder onderzijde C-stijl rechts;;;;311275;;12
Rubber onderzijde C-stijl links;;;;311276;;7
Rubber onderzijde C-stijl rechts;;;;311277;;7
Rubberhouder A-stijl links compleet;;;;311278;;60
Rubberhouder A-stijl rechts compleet;;;;311279;;60
Rubberhouder B-stijl links voor;;;;311280;;32
Rubberhouder B-stijl rechts voor;;;;311281;;32
Rubberhouder B-stijl links achter;;;;311282;;32
Rubberhouder B-stijl rechts achter;;;;311283;;32
Rubberhouder boven achterdeur;;;;311284;;22
Rubberhouder C-stijl links;;;;311285;;32
Rubberhouder C-stijl rechts;;;;311286;;32
Dakrand voorzijde bovenkant;;;;311287;;190
Dakrand voorzijde onderkant;;;;311288;;90
Dakrand voorzijde versteviging binnenkant;;;;311289;;18
Dakrand rep.deel links;;;;311290;;50
Dakrand rep.deel rechts;;;;311291;;50
Mousse rubber rond kachelinlaat schutbordzijde;;;;311292;;7
Doorvoerrubber hoogteregelaar;D435149;;;311293;;6
Doorvoerrubber remdrukregelaar;DX394161;;;311294;;12
DS Onderdelen>Spatlappen, Afdekplaten & Sierstrips;CATEGORY;;;;;
Spatlap onder voorste kriksteun links;;;;312100;;15
Spatlap onder voorste kriksteun rechts;;;;312101;;15
Spatlap voorscherm in wielkast achter voorwiel ;D8541;;;312102;;10
Spatlap voor het achterwiel ;;;;312103;;4
Houder spatlap voor het achterwiel;;;;312104;;6
Spatlap achter achterwiel berline links;;;;312105;;16
Spatlap achter achterwiel berline rechts;;;;312106;;16
Spatlap achter achterwiel berline oude type;;;;312107;;12
Spatlapset berline met INOX bevestiging;;;;312108;;84
Afdichtplaat voor voorwiel links;DX85387;DX85387A;;312109;;48
Afdichtplaat voor voorwiel rechts;DX85387;DX85387A;;312110;;48
Afdichtplaat voor voorwiel links, polyester;;;;312111;;46
Afdichtplaat voor voorwiel rechts, polyester;;;;312112;;46
Steenplaat metaal;;;;312113;;420
Steenplaat polyester;;;;312114;;210
Clipmoer voor plaat onder versnellingsbak;;;;312115;;2
Afdekplaat onder versn.bak tot 1965;;;;312116;;130
Afdekplaat onder versn.bak na 1965;;;;312117;;125
Afdekplaatje driehoekig onder halve voortrein links;;;;312118;;24
Afdekplaatje driehoekig onder halve voortrein rechts;;;;312119;;24
Afdichtrubber doorsmeergat / kofferbodem;;;;312120;;3
Sierplaatje achterste deurvanger INOX op instapdorpel;DS84260;;;312121;;10
Sierplaatje achterste deurvanger aluminium op instapdorpel;DS84260;;;312122;;9
Dorpelbeplating Pallas interieur bovenop dorpel;;;;312123;;290
Dorpelbeplating Pallas interieur verticaal tegen dorpel;;;;312124;;290
Dorpelbeplating INOX;;;;312125;;130
Dorpelbeplating aluminium;;;;312126;;130
Dorpelbeplating Break / cabriolet  INOX;;;;312127;;135
Dorpelbeplating Break / cabriolet  Aluminium;;;;312128;;135
Dorpelbeplating INOX     SM;;;;512300;;225
Afdekplaat onder instapdorpel;DM74398;;;312129;;20
Z-rubber voor afdekplaat leidingen onder dorpels;;;;312130;;18
Spons rubber voor afdekplaat leidingen onder dorpels;;;;312131;;18
Spons rubber voor afdekplaat leidingen (1m);;;;312132;;5
Hydraulique beschermingsplaat links achter, onderkant;;;;312133;;36
Hydraulique beschermingsplaat met spatlap, links achter;DX453168;DX453170;;312134;;80
Hydraulique beschermingsplaat met spatlap, rechts achter ;DX453168;DX453170;;312135;;80
Afdekplaat over achteras;;;;312136;;50
Sierlijsten breed ( 8 delen) Pallas;;;;312137;;190
Sierlijsten breed ( 8 delen) Non-Pallas;;;;312138;;190
Sierlijsten Pallas smal ( 14 delen );;;;312139;;255
Klemmetjes smalle sierlijsten (100 p);;;;312140;;20
Wieldeksel Pallas;DX8543A;;;312141;;90
Klem wieldeksel;;;;312142;;5
DS Onderdelen>Bumpers;CATEGORY;;;;;
Houder olie/krik reservewiel;DX625150A;;;313100;;40
Reservewiel bevestigingsband 180/185;;;;313101;;38
Reservewiel bevestigingsband 155/165;;;;313102;;38
Reservewiel bevestigingsband 165x400;;;;313103;;38
Stootrubber voorbumper links;;;;313104;;60
Stootrubber voorbumper rechts;;;;313105;;60
Stootrubber voorbumper oud type, links;;;;313106;;60
Stootrubber voorbumper oud type, rechts;;;;313107;;60
Stootrubber voorbumper midden;DX615246A;;;313108;;34
Middenstuk bumper chroom;;;;313109;;28
Bumperhoek links voor;;;;313110;;22
Bumperhoek rechts voor;;;;313111;;22
Rubber tussen bumper en bumperhoek voor;;;;313112;;7
Zwart dopje op vijs voorbumper M5;;;;313113;;0,75
Stootrubber achterbumper;;;;313114;;40
Onderste deel achterbumper cabriolet (verlengd);;;;313115;;385
Bumperhouder links achter compleet;;;;313116;;60
Bumperhouder rechts achter compleet;;;;313117;;60
Puntrubbertje in achterbumperhouder;;;;313118;;1,5
Nummerplaathouder voor, polyester;;;;313119;;230
Nummerplaathouder voor, staal;;;;313120;;264
Nummerplaathouder achter, staal;;;;313121;;200
Rubber tussen nummerplaathouder-steenplaat;;;;313122;;11
Rubber zwengelgat NT;;;;313123;;9
Rubber zwengelgat OT ;;;;313124;;7
Rubber zwengelgat eerste type;;;;313125;;7
Rubber onder zwengel;;;;313126;;2
DS Onderdelen>Voorvleugel;CATEGORY;;;;;
Set verluchtingsbuizen 2 voorvleugels, met schuim;;;;314100;;50
Set verluchtingsbuizen 2 voorvleugels  oud type;;;;314101;;35
Set verluchtingsbuizen 2 voorvleugels  oud type, met schuim;;;;314102;;40
Bekleding luchtinlaat rechterzijde, zilverkleurig;DS6436;;;314103;;10
Rooster in luchtslang;;;;314104;;16
Bevestigingsrubbertje luchtslang;;;;314105;;4
Voorvleugel bevestigingsoog links;;;;314106;;19
Voorvleugel bevestigingsoog rechts;;;;314107;;19
Voorvleugel rep.deel met bevestigingsoog links;;;;314108;;45
Voorvleugel rep.deel met bevestigingsoog rechts;;;;314109;;45
Voorvleugel rep.deel onder koplamp links;;;;314110;;66
Voorvleugel rep.deel onder koplamp rechts;;;;314111;;66
Voorvleugel rep.deel onder koplamp binnenkant links;;;;314112;;72
Voorvleugel rep.deel onder koplamp binnenkant rechts;;;;314113;;72
Voorvleugel binnenbak links;;;;314114;;32
Voorvleugel binnenbak rechts;;;;314115;;32
Voorvleugel buitenbak links;;;;314116;;18
Voorvleugel buitenbak rechts;;;;314117;;18
Voorvleugel buitenbak links, hoge uitvoering   ;;;;314118;;54
Voorvleugel buitenbak rechts, hoge uitvoering;;;;314119;;54
Voorvleugel buitenrand links;;;;314120;;48
Voorvleugel buitenrand rechts;;;;314121;;48
Voorvleugel binnenrand links;;;;314122;;35
Voorvleugel binnenrand rechts;;;;314123;;35
Rubber in metalen steun voor positionering voorvleugel;D85189;;;314124;;5
Metalen steun voor positionering voorvleugel;DS851149;;;314125;;5
Doorvoerrubber voorvleugel                           ;;;;314126;;1
Rubber strip afdichting overgang voorvleugel-afdichtplaat;DS85183;;;314127;;6
Rubber strip bij stuurstang in voorspatbord;;;;314128;;5
Doorvoerrubber stuurstang in voorspatbord vanaf 68;;;;314129;;14
Set rubbers op chassis aan voorvleugel;C016E;;;314130;;27
Dop in A-stijl;;;;314131;;3
Rubber tussen voorbumper en voorvleugel links;;;;314132;;10
Rubber tussen voorbumper en voorvleugel rechts;;;;314133;;10
Rubber tussen voorbumper en voorvleugel oud  type, links;;;;314134;;10
Rubber tussen voorbumper en voorvleugel oud  type, rechts;;;;314135;;10
Rubber tussen voorvleugel en motorkap;;;;314136;;10
Rubber tussen voorvleugel en motorkap oud type;;;;314137;;10
Klemmetjes rubber voorvleugel-bumper;;;;314138;;0,5
Klemmetjes rubber voorvleugel-motorkap;;;;314139;;0,5
DS Onderdelen>Motorkap;CATEGORY;;;;;
Motorkap openingskabel ;;;;315010;;15
Motorkap windvanger;;;;315011;;12
Motorkap aanslag rubbertje;;;;315012;;1,5
Rubbertje motorkapstang;A96153;;;315013;;2
Motorkapbekleding nieuw type;;;;315014;;39
Motorkapbekleding oud type;;;;315015;;39
Schutbordrubber onder de voorruit;;;;315016;;12
Rubber dop in regengoot boven 4° cilindergat;;;;315017;;3
Rep.deel onder motorkapscharnier links;;;;315018;;38
Rep.deel onder motorkapscharnier rechts;;;;315019;;38
DS Onderdelen>Deuren;CATEGORY;;;;;
Spiegel groot RVS links;7D5424810B;7D5424812B;;316201;;44
Spiegel groot RVS rechts;7D5424810B;7D5424812B;;316202;;44
Spiegel klein RVS links;DX5513A;;;316203;;50
Spiegel klein RVS rechts;DX5513A;;;316204;;50
Buitenhuid linker voordeur, nieuw type klink;;;;316205;;330
Buitenhuid rechter voordeur, nieuw type klink;;;;316206;;330
Buitenhuid linker achterdeur, nieuw type klink;;;;316207;;259
Buitenhuid rechter achterdeur, nieuw type klink;;;;316208;;259
Buitenhuid linker voordeur, oud type klink;;;;316209;;330
Buitenhuid rechter voordeur, oud type klink;;;;316210;;330
Buitenhuid linker achterdeur, oud type klink;;;;316211;;259
Buitenhuid rechter achterdeur, oud type klink;;;;316212;;259
Deurbak buiten tot boven de knik, links voor;;;;316213;;36
Deurbak buiten tot boven de knik, rechts voor;;;;316214;;36
Deurbak buiten tot boven de knik, links achter;;;;316215;;36
Deurbak buiten tot boven de knik, rechts achter;;;;316216;;36
Deurbak binnen  3-delig, links voor;;;;316217;;57
Deurbak binnen  3-delig, rechts voor;;;;316218;;57
Deurbak binnen  3-delig, links achter;;;;316219;;57
Deurbak binnen  3-delig, rechts achter;;;;316220;;57
Deurrubberhouder voordeur;D84172A;;;316221;;8
Deurrubberhouder achterdeur;D84172A;;;316222;;8
Set verticale rubbers met ijzerwerk (6 stuks);;;;316223;;42
Verticale rubber met ijzerwerk, per stuk;;;;316224;;8
Horizontale rubber in rubberhouder lang (voordeur);;;;316225;;17
Horizontale rubber in rubberhouder kort (achterdeur);;;;316226;;17
Aanslagrubber voordeur;D8418;;;316227;;3
Set afdichtplastic voorgesneden voor 4 deuren ;;;;316228;;15
Klein rubber in voordeur  ;;;;316229;;1,5
Rond deurrubber;;;;316230;;2
Ovaal deurrubber;;;;316231;;2
Binnenklink, links, 90 mm;;;;316232;;75
Binnenklink, rechts, 90 mm;;;;316233;;75
Binnenklink, links, 79 mm;;;;316234;;75
Binnenklink, rechts, 79 mm;;;;316235;;75
Binnenklink, links, 73 mm;;;;316236;;75
Binnenklink, rechts, 73 mm;;;;316237;;75
Buitenklink nieuw type, links;;;;316238;;88
Buitenklink nieuw type, rechts;;;;316239;;88
Rubber ring binnenklink;;;;316240;;3
Rubber ring opstaande buitenklink;;;;316241;;3
Fiber ring buitenklink OT;;;;316242;;1,5
Bevestigingsrubbertje binnenklinkmechanisme;;;;316243;;1
Afdichtingsplastic nieuw type buitenklink;;;;316244;;7
Set van 3 sloten + 2 sleutels;;;;316245;;25
Set van 3 sloten + 2 sleutels oud type klink;;;;316246;;25
Drukknop klink oud type / kofferslot;;;;316247;;24
Set windvangers aan voordeuren;;;;316248;;60
DS Onderdelen>Dak;CATEGORY;;;;;
Antenne;;;;317100;;25
Rubber voor geschroefd dak berline;;;;317101;;18
Rubber voor gelijmd dak;;;;317102;;18
Mousse rubber onder achterzijde dak;;;;317103;;12
Klem daksierlijst achteraan;;;;317104;;2
Dakrand klem zijkant;;;;317105;;15
Dakrand klem voorkant;;;;317106;;15
Klem zijrand hemelbekleding Pallas;;;;317107;;9
Pallas hemelbekleding 5 delen;;;;317108;;80
Hemelbekleding 4 delen;;;;317109;;80
Wit skaï hemelbekleding non-Pallas, per meter;;;;317110;;38
Hemelstof, per meter;;;;317111;;30
Lijm, pot;;;;317112;;17,5
Dakkit zwart;;;;317113;;19
DS Onderdelen>Achtervleugel;CATEGORY;;;;;
Achtervleugel metaal links;;;;318100;;375
Achtervleugel metaal rechts;;;;318101;;390
Achtervleugel polyester links;;;;318102;;260
Achtervleugel polyester rechts;;;;318103;;260
Ophangoog INOX;;;;318104;;7
Rubber ophangoog;;;;318105;;2,5
Montagerubber ovaal ophangoog;;;;318106;;2
Ophangpunt plastic achtervleugel;;;;318107;;9
Chroom bout achtervleugel;;;;318108;;10
Nylon ring rond chroom bout achtervleugel;;;;318109;;4
Reflector achtervleugel;;;;318110;;14
Reflectorhouder;;;;318111;;10
Plastic strip rond Pallas reflector achtervleugel;;;;318112;;4
Rubberstrip achtervleugel tegen C-stijl ;;;;318113;;5
Benzineklep rubbertje;;;;318114;;1
Rep.deel voorrand achtervleugel compleet links;;;;318115;;84
Rep.deel voorrand achtervleugel compleet rechts;;;;318116;;84
Voorste rep.deel achtervleugel links;;;;318117;;40
Voorste rep.deel achtervleugel rechts;;;;318118;;40
Reparatiedeel bovenrand links;;;;318119;;38
Reparatiedeel bovenrand rechts;;;;318120;;38
Tankdop chroom;;>>>>>;;318121;;16
Tankdop met sleutel;;;;318122;;14
Ophangbeugel achtervleugel 2-delig;;;;318123;;32
DS Onderdelen>Kofferklep;CATEGORY;;;;;
Kofferdeksel polyester;;;;319100;;325
Scharnierrubber kofferdeksel links;;;;319101;;10
Scharnierrubber kofferdeksel rechts;;;;319102;;10
Afdichtrubber binnenkant kofferdeksel;;;;319103;;90
Rubberstrip set onder achterklep, niet Pallas;;;;319104;;24
Plastic strip aan kofferbak, bovenkant;;;;319105;;12
Plastic strip aan kofferbak, zijkant;;;;319106;;6
Plastic strip aan kofferbak, onderkant;;;;319107;;18
Rubber aan kofferdeksel tussen achterruit en koffer;;;;319108;;16
Klemmetjes rubber kofferdeksel-achterruit;;;;319109;;1
Kofferklepveer berline 25 windingen;DS84459;;;319110;;7
Monogram DS20;;;;319111;;32
Monogram DS21;;;;319112;;32
Set chevrons zilverkleurig;;;;319113;;15
Set chevrons goudkleurig;;;;319114;;15
Klemmetje chevron;;;;319115;;0,3
DS Onderdelen>Break;CATEGORY;;;;;
Bodemprofiel horizontaal Break links;;;;320200;;49
Bodemprofiel horizontaal Break rechts;;;;320201;;49
Bodemprofiel verticaal Break links;;;;320202;;36
Bodemprofiel verticaal Break rechts;;;;320203;;36
Versterkingsprofiel Break links;;;;320204;;28
